
ListDLLs v3.1 - List loaded DLLs
Copyright (C) 1997-2011 Mark Russinovich
Sysinternals - www.sysinternals.com

------------------------------------------------------------------------------
python.exe pid: 3148
Command line: python  mssh.py

Base        Size      Path
0x76b70000  0x83000   C:\Windows\system32\CLBCatQ.DLL
0x74350000  0xf5000   C:\Windows\system32\propsys.dll
0x74c80000  0x21000   C:\Windows\system32\ntmarta.dll
0x75b30000  0x45000   C:\Windows\system32\WLDAP32.dll
0x71fb0000  0x58000   C:\Windows\system32\winhttp.dll
0x71f60000  0x4f000   C:\Windows\system32\webio.dll
0x756a0000  0x1b000   C:\Windows\system32\SspiCli.dll
0x74fb0000  0x8000    C:\Windows\system32\credssp.dll
0x6c340000  0x5000    C:\Windows\system32\shfolder.dll
0x73f30000  0x130000  C:\Windows\system32\WindowsCodecs.dll
0x756c0000  0x4c000   C:\Windows\system32\apphelp.dll
0x74ad0000  0x31000   C:\Windows\system32\EhStorShell.dll
0x72930000  0x84000   C:\Windows\WinSxS\x86_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.18837_none_ec86b8d6858ec0bc\COMCTL32.dll
0x74090000  0x6a000   C:\Windows\System32\cscui.dll
0x74c70000  0x9000    C:\Windows\System32\CSCDLL.dll
0x71de0000  0xb000    C:\Windows\system32\CSCAPI.dll
0x73c50000  0x70000   C:\Windows\system32\ntshrui.dll
0x75360000  0x19000   C:\Windows\system32\srvcli.dll
0x73940000  0xa000    C:\Windows\system32\slc.dll
0x67570000  0x79000   C:\Windows\system32\mscms.dll
0x74e10000  0x17000   C:\Windows\system32\USERENV.dll
0x6c1e0000  0x38000   C:\Windows\system32\icm32.dll
0x674b0000  0xbc000   C:\Python34\DLLs\unicodedata.pyd
0x751f0000  0x3c000   C:\Windows\system32\mswsock.dll
0x729d0000  0x6000    C:\Windows\System32\wshqos.dll
0x74d40000  0x5000    C:\Windows\system32\wshtcpip.DLL
0x751e0000  0x6000    C:\Windows\system32\wship6.dll
